id,clean_text
0,"Hello Micheal Gary Scott, We ve received your application for the Decision Scientist position at Tesco. Thank you for taking the time to apply and for considering joining us. So, what happens next? First of all, our recruitment team will take a look at your application   if your skills and experience match the position, we ll get in touch to arrange next steps. We know how much effort it takes to put together an application, so we review each one carefully. As soon as we ve got any news for you, we ll get in touch via email. We are proud to have an inclusive culture at Tesco where everyone truly feels able to be themselves. This is because we not only celebrate diversity, but recognise the value and opportunity it brings. Therefore, we are committed to creating a workplace where differences are valued, and make sure that all colleagues are given the same opportunities. We re proud to have been accredited Disability Confident Leader and we re committed to providing a fully inclusive and accessible recruitment process. If you need any further help or have any questions, please check out our frequently asked questions on our career site. Thank you again for your interest in Tesco. Tesco Talent Acquisition team raspberrys To review and change your preferences Contact us Accessibility information Legal: Indeed This is an email from Tesco Stores Limited ("
1,"Your application was sent to Healthify                                                                                                                                                                                                                                                                                                                                 Micheal Gary Scott Your application was sent to Healthify Healthify Product Analyst Healthify   Bengaluru (On-site) Applied on April 2, 2025 Now, take these next steps for more success View similar jobs you may be interested in Activision Data Analyst, Business Analytics Activision   Santa Monica, CA San Jos  State University 2 school alumni Lockheed Martin Data Analyst - Level 2 - Junior Level Lockheed Martin   Fort Worth, TX Elayna Seguin 1 connection San Jos  State University 983 school alumni Ford Motor Company Data Analyst Ford Motor Company   United States (Remote) San Jos  State University 106 school alumni This email was intended for Micheal Gary Scott (Data Science and Analytics | SQL, Tableau, Python, Salesforce CRM) Learn why we included this. You are receiving notification emails."
2,"Thank you for Applying to Amazon! Amazon.jobs Hi Micheal Gary Scott, Thanks for applying to Amazon! We've received your application for the Business Analyst, IN S&OP (ID: 2879110) position. What happens next? If we decide to move forward with your application, the Amazon recruiting team will contact you to discuss the next steps. Any updates to your application status will be reflected on your Application dashboard, so be sure to check back regularly. Go to your application dashboard Explore our interview resources for more information on the hiring process and how to prepare for interviews. To learn more about our peculiar culture, visit Amazon.jobs and get the latest Amazon news and stories by following our Day One blog. Best regards, Amazon Recruiting Team"
3,"IBM Careers IBM Careers IBM Dear Micheal Gary Scott, thank you for applying to the role of 14499 - Business Analyst-ADM with person ID - 8802130 at IBM. We re excited that you re considering us as your next employer! Here at IBM, we believe our greatest asset is the IBMer. We strive every day to foster a culture of conscious inclusion for all individuals and provide IBMers the opportunity to make a positive impact on the world while bringing their authentic selves to work. To that end, we want to be as transparent as possible with you about what to expect next now that you ve applied to IBM. Currently, your application is being reviewed by real IBMers, who are experts in screening resumes in their respective fields. If there's a potential match, we ll contact you to discuss the next steps of our hiring process. While you wait to hear from us:   Visit our special careers page to find tips on acing your interview and career advice from current IBMers. You can also check out our application process page to learn more about how we hire at IBM.   Connect with us on our Life@IBM social media channels (links in the footer below) where you can engage with us further, discover what life at IBM is like, and see how IBMers around the world are making an impact. You can also check the status of your application at any time by visiting your IBM Career Portal. If you have any questions, please feel free to send us a direct message on any of our social channels. Thank you again, Micheal Gary Scott, for taking the time to apply to IBM and for your interest in becoming a future IBMer. Best regards, IBM Talent Acquisition Team"
4,"IBM Careers IBM Careers IBM Ref: 14499 - Business Analyst-ADM Dear Micheal Gary Scott, We are excited to see that you have applied for a position at IBM, and we want to ensure that you have the best opportunity to showcase your fantastic skills. We understand that a resume alone doesn't always reflect a candidate's full potential. That's why we invite you to complete one or more of the following assessments, which will help us gain a more comprehensive view of your capabilities. IBM values accessibility and is committed to ensuring that every candidate has an equal opportunity to showcase their skills and potential. We support measures like additional time for persons with disabilities on selection assessments. We use the following assessments for selection purposes. You will be invited to complete 1 or more of these assessments, depending on the role you are applying for. The next step in the process includes one or more assessments   described below. The Coding Assessment - helps us to understand your level of programming knowledge and ability. You will be presented with a coding interface to solve coding challenges. This is a timed assessment. Recorded Competency Video - this short and engaging assessment allows you to demonstrate your workplace competency beyond what a traditional resume allows. You will be presented with a pre-recorded question, and you will be asked to record your response . This is a timed assessment. English Language Assessment: Evaluate your English Language skills and competencies. This is a timed assessment. We believe that these assessments will provide you with a better opportunity to showcase your skills, and we encourage you to take them seriously. We also want to make sure that you feel comfortable and supported throughout the process. All applicants are requested to click the accommodation link below. If you are a person with a disability, please follow the link to submit any adjustments that you require, such as extra time. IBM will review the details of your requirements and work with you on any adjustment options for your application. It is important that you submit your requirements before starting any assessments. If you do not need extra time on the assessments, please mark your response in the link below. Accommodation Form Please note that this form must be completed for each position you apply for that requires an assessment. For additional information and helpful tips, please visit our blog. We appreciate your interest in joining our team and wish you the best of luck as you complete these assessments. We can't wait to see all that you have to offer! Sincerely, The IBM Talent Acquisition Team"
5,"Infineon Careers Infineon Careers Banner Hi Micheal Gary Scott, Welcome to Infineon Technologies Careers! Here is a checklist for you 1. Build a rich profile: Add all your experiences, skills, projects, and courses to fully represent yourself! Update your profile 2. Understand your job matches: Jobs that match based on your profile will be specifically marked as a ""good match"" or ""strong match"". 3. Track your applications: View the real-time status of all your submitted applications. 4. Set custom alerts: Be the first to know about new job opportunities at Infineon. Get meaningful alerts for recommended jobs directly into your inbox. Here you have two options: The Job Notification is based on your CV and search behavior. Configuring it manually is not possible. But you can define how often you would like to receive it. The Job Alert can be configured manually. For that open the Job Search within the Candidate Profile and set your preferred filters e.g. location or job family. Based on that you can activate the job alert and define a frequency."
6,"Your application was sent to Generative Futures                                                                                                                                                                                                                                                                                                                                 Micheal Gary Scott Your application was sent to Generative Futures Generative Futures Data Scientist Generative Futures   India (Remote) Applied on April 2, 2025 Now, take these next steps for more success View similar jobs you may be interested in Activision Data Analyst, Analytics Insights Activision   Santa Monica, CA San Jos  State University 2 school alumni Lockheed Martin Data Analyst - Level 2 - Junior Level Lockheed Martin   Fort Worth, TX Elayna Seguin 1 connection San Jos  State University 983 school alumni Ford Motor Company Data Analyst Ford Motor Company   United States (Remote) San Jos  State University 106 school alumni This email was intended for Micheal Gary Scott (Data Science and Analytics | SQL, Tableau, Python, Salesforce CRM) Learn why we included this. You are receiving notification emails."
7,"Micheal Gary Scott, Thank you for your interest in our Operations Associate role at Coursera! We have received your application and our team will review it promptly. If your skills and experience align with the requirements of the position, we will be in touch with you soon. Regards, Coursera"
8,"Micheal Gary Scott, Thank you for your interest in our Operations Associate role at Coursera! We have received your application and our team will review it promptly. If your skills and experience align with the requirements of the position, we will be in touch with you soon. Regards, Coursera"
9,"Hello Micheal Gary Scott (Micheal Gary Scott) Thank you for applying to Xylem! We have received your resume/CV for R41024 Business Insights Analyst (Open) A member of our talent acquisition team will review your application and information and determine if there is a match between your resume and what the hiring team is looking for. We understand the importance of timely updates, and while our review process may take a little time to ensure fairness and accuracy, please be assured that we are working diligently to assess each application thoroughly. Should your qualifications closely match what we're seeking, a member of our team will reach out to discuss the next steps in the process. We appreciate your interest in pursuing Xylem for your next career move! Sincerely, Xylem's Talent Acquisition Team"
